Rich	General	Jupiter	0.01	1	z-band	2	No	
Panfichialdo	General	NGC 6992	60	1	dark, g-band, r-band, i-band	2	No	
Panfichialdo	General	M83	60	1	dark, r-band, i-band	2	No	
Maxgoldberg	General	M 16	60	12	h-alpha	1	No	
Cesmerian	Solar System	Jupiter	0.01	1	clear, g-band, r-band, i-band	2	No	
Cesmerian	Solar System	Jupiter	0.1	1	clear, g-band, r-band, i-band	2	No	
Cesmerian	Solar System	Jupiter	0.1	1	clear, g-band, r-band, i-band	2	No	
Cesmerian	Solar System	Jupiter	0.15	1	clear, g-band, r-band, i-band	2	No	
Cesmerian	Solar System	Jupiter	0.1	1	clear, g-band, r-band, i-band	2	No	
Cesmerian	Solar System	Jupiter	0.1	1	clear, g-band, r-band, i-band	2	No	
Cesmerian	General	Jupiter	0.1	1	dark	2	No	
Norabailey	Solar System	Jupiter	0.1	1	clear, g-band, r-band, i-band	2	No
Nowinski	General	M67	10	1	clear	1	No
