index,name,airmass,jd,mag04,mag05,mag06,mag07,mag08,mag09,mag10,mag11,mag12,mag13,mag14,mag15,magerr04,magerr05,magerr06,magerr07,magerr08,magerr09,magerr10,magerr11,magerr12,magerr13,magerr14,magerr15
200,1385,1.920000,58427.192639,-10.6658,-11.0133,-11.2258,-11.3828,-11.4832,-11.5554,-11.6026,-11.6400,-11.6663,-11.6838,-11.6949,-11.7007,0.0129,0.0116,0.0113,0.0113,0.0116,0.0121,0.0128,0.0135,0.0143,0.0152,0.0161,0.0171
102,J030400.793+060332.168,1.920000,58427.192639,-8.9527,-9.3012,-9.5434,-9.6942,-9.7918,-9.8395,-9.8660,-9.8981,-9.9168,-9.9163,-9.8969,-9.8614,0.0576,0.0518,0.0498,0.0502,0.0525,0.0562,0.0610,0.0649,0.0696,0.0753,0.0826,0.0913
159,J030401.610+061515.399,1.920000,58427.192639,-9.5258,-9.8585,-10.1037,-10.2650,-10.3708,-10.4536,-10.5123,-10.5651,-10.6050,-10.6240,-10.6372,-10.6566,0.0345,0.0314,0.0301,0.0300,0.0311,0.0322,0.0339,0.0354,0.0372,0.0395,0.0420,0.0441
148,J030404.448+055514.879,1.920000,58427.192639,-8.4276,-8.8582,-9.1436,-9.3419,-9.4805,-9.5896,-9.6362,-9.6711,-9.6967,-9.7034,-9.7238,-9.7992,0.0920,0.0775,0.0713,0.0694,0.0695,0.0708,0.0751,0.0800,0.0851,0.0916,0.0966,0.0967
138,J030406.519+061524.230,1.920000,58427.192639,-10.8971,-11.2276,-11.4671,-11.6256,-11.7396,-11.8180,-11.8759,-11.9199,-11.9512,-11.9743,-11.9959,-12.0111,0.0108,0.0097,0.0092,0.0092,0.0093,0.0096,0.0101,0.0105,0.0111,0.0117,0.0123,0.0129
82,J030406.745+060822.846,1.920000,58427.192639,-12.2172,-12.5493,-12.7778,-12.9375,-13.0486,-13.1261,-13.1802,-13.2182,-13.2468,-13.2691,-13.2876,-13.3033,0.0040,0.0036,0.0033,0.0032,0.0032,0.0033,0.0034,0.0035,0.0037,0.0038,0.0040,0.0042
67,J030409.810+060330.257,1.920000,58427.192639,-11.0501,-11.3710,-11.6227,-11.7717,-11.8873,-11.9615,-12.0219,-12.0596,-12.0860,-12.1069,-12.1261,-12.1379,0.0095,0.0086,0.0081,0.0081,0.0082,0.0085,0.0089,0.0093,0.0099,0.0104,0.0110,0.0116
62,J030410.558+060640.040,1.920000,58427.192639,-9.7355,-10.0816,-10.3107,-10.4816,-10.6089,-10.6949,-10.7508,-10.7839,-10.8169,-10.8442,-10.8730,-10.9040,0.0287,0.0260,0.0250,0.0248,0.0251,0.0260,0.0273,0.0290,0.0307,0.0323,0.0338,0.0352
91,J030411.141+055830.475,1.920000,58427.192639,-9.1072,-9.4617,-9.7073,-9.8889,-10.0103,-10.1094,-10.1839,-10.2421,-10.2884,-10.3507,-10.3973,-10.4272,0.0499,0.0450,0.0429,0.0422,0.0429,0.0441,0.0456,0.0475,0.0495,0.0507,0.0522,0.0544
104,J030411.178+061312.497,1.920000,58427.192639,-11.2902,-11.6463,-11.8772,-12.0398,-12.1549,-12.2402,-12.3013,-12.3465,-12.3777,-12.4005,-12.4147,-12.4310,0.0078,0.0070,0.0066,0.0065,0.0066,0.0067,0.0070,0.0073,0.0076,0.0081,0.0085,0.0089
152,J030412.177+055300.917,1.920000,58427.192639,-9.5698,-9.9123,-10.1705,-10.3367,-10.4592,-10.5381,-10.6081,-10.6618,-10.7028,-10.7289,-10.7593,-10.7866,0.0333,0.0299,0.0284,0.0281,0.0288,0.0298,0.0311,0.0323,0.0340,0.0358,0.0375,0.0391
54,J030413.093+060700.520,1.920000,58427.192639,-8.8836,-9.2465,-9.4767,-9.6584,-9.7883,-9.8714,-9.9271,-9.9918,-10.0263,-10.0358,-10.0578,-10.0613,0.0611,0.0546,0.0528,0.0520,0.0525,0.0547,0.0576,0.0597,0.0629,0.0675,0.0712,0.0760
51,J030413.522+060416.818,1.920000,58427.192639,-11.2682,-11.6053,-11.8397,-12.0122,-12.1291,-12.2120,-12.2681,-12.3065,-12.3330,-12.3547,-12.3729,-12.3870,0.0080,0.0072,0.0068,0.0067,0.0067,0.0069,0.0072,0.0075,0.0079,0.0084,0.0088,0.0093
